施設名称,住所,電話番号,リンクURL,分類__,FIXEDID,経度,緯度
千葉市（ちばし）,千葉市中央区千葉港1-1,043-245-5111,http://www.city.chiba.jp/,市町村役場,1,140.1069062,35.60766226
中央区（ちゅうおうく）,千葉市中央区中央3-10-8,043-221-2111,http://www.city.chiba.jp/chuo/chiikishinko/chuo.html,市町村役場,2,140.1246631,35.60899085
花見川区（はなみがわく）,千葉市花見川区瑞穂1-1,043-275-6111,http://www.city.chiba.jp/hanamigawa/chiikishinko/hanamigawa.html,市町村役場,3,140.0684855,35.6630382
稲毛区（いなげく）,千葉市稲毛区穴川4-12-1,043-284-6111,http://www.city.chiba.jp/inage/chiikishinko/inage.html,市町村役場,4,140.107179,35.63622645
若葉区（わかばく）,千葉市若葉区桜木北2-1-1,043-233-8111,http://www.city.chiba.jp/wakaba/chiikishinko/wakabatop.html,市町村役場,5,140.1542408,35.61982368
緑区（みどりく）,千葉市緑区おゆみ野3-15-3,043-292-8111,http://www.city.chiba.jp/midori/chiikishinko/midori.html,市町村役場,6,140.1762093,35.56051384
美浜区（みはまく）,千葉市美浜区真砂5-15-1,043-270-3111,http://www.city.chiba.jp/mihama/chiikishinko/mihamatop.html,市町村役場,7,140.0631226,35.64040679
銚子市（ちょうしし）,銚子市若宮町1-1,0479-24-8181,http://www.city.choshi.chiba.jp/,市町村役場,8,140.8265869,35.73471346
市川市（いちかわし）,市川市南八幡2-20-2,047-334-1111,http://www.city.ichikawa.lg.jp/,市町村役場,9,139.9295173,35.71606651
船橋市（ふなばしし）,船橋市湊町2-10-25,047-436-2111,http://www.city.funabashi.chiba.jp/,市町村役場,10,139.982637,35.69467469
館山市（たてやまし）,館山市北条1145-1,0470-22-3111,http://www.city.tateyama.chiba.jp/,市町村役場,11,139.8700275,34.9965832
木更津市（きさらづし）,千葉県木更津市富士見１丁目２-１,0438-23-7111,http://www.city.kisarazu.lg.jp/,市町村役場,12,139.9248569,35.38099417
松戸市（まつどし）,松戸市根本387-5,047-366-1111,http://www.city.matsudo.chiba.jp/index.html,市町村役場,13,139.9031535,35.78766293
野田市（のだし）,野田市鶴奉7-1,04-7125-1111,http://www.city.noda.chiba.jp/,市町村役場,14,139.8748579,35.95501805
茂原市（もばらし）,茂原市道表1,0475-23-2111,http://www.city.mobara.chiba.jp/,市町村役場,15,140.288253,35.42837018
成田市（なりたし）,成田市花崎町760,0476-22-1111,http://www.city.narita.chiba.jp/,市町村役場,16,140.3190163,35.77675278
佐倉市（さくらし）,佐倉市海隣寺町97,043-484-1111,http://www.city.sakura.lg.jp/,市町村役場,17,140.2239553,35.72350137
東金市（とうがねし）,東金市東岩崎1-1,0475-50-1111,http://www.city.togane.chiba.jp/,市町村役場,18,140.3661864,35.55988179
旭市（あさひし）,旭市二1920,0479-62-1212,http://www.city.asahi.lg.jp/,市町村役場,19,140.6465969,35.72039158
習志野市（ならしのし）,習志野市鷺沼1-1-1,047-451-1151,http://www.city.narashino.chiba.jp/,市町村役場,20,140.0265021,35.68041858
柏市（かしわし）,柏市柏5-10-1,04-7167-1111,http://www.city.kashiwa.lg.jp/,市町村役場,21,139.9762354,35.86825967
勝浦市（かつうらし）,勝浦市新官1343-1,0470-73-1211,http://www.city.katsuura.chiba.jp/,市町村役場,22,140.3209104,35.15222872
市原市（いちはらし）,市原市国分寺台中央1-1-1,0436-22-1111,http://www.city.ichihara.chiba.jp/,市町村役場,23,140.1154691,35.49796727
流山市（ながれやまし）,流山市平和台1-1-1,04-7158-1111,http://www.city.nagareyama.chiba.jp/,市町村役場,24,139.9025005,35.85634262
八千代市（やちよし）,八千代市大和田新田312-5,047-483-1151,http://www.city.yachiyo.chiba.jp/,市町村役場,25,140.0998442,35.72246142
我孫子市（あびこし）,我孫子市我孫子1858,04-7185-1111,http://www.city.abiko.chiba.jp/,市町村役場,26,140.0281925,35.86408422
鴨川市（かもがわし）,鴨川市横渚1450,04-7092-1111,http://www.city.kamogawa.lg.jp/JP/,市町村役場,27,140.0988594,35.11401958
鎌ケ谷市（かまがやし）,鎌ヶ谷市新鎌ヶ谷2-6-1,047-445-1141,http://www.city.kamagaya.chiba.jp/,市町村役場,28,140.0007151,35.77684077
君津市（きみつし）,君津市久保2-13-1,0439-56-1581,http://www.city.kimitsu.lg.jp/,市町村役場,29,139.9027228,35.33035389
富津市（ふっつし）,富津市下飯野2443,0439-80-1222,http://www.city.futtsu.lg.jp/,市町村役場,30,139.8570893,35.30409406
浦安市（うらやすし）,浦安市猫実1-1-1,047-351-1111,http://www.city.urayasu.chiba.jp/,市町村役場,31,139.9022028,35.65395325
四街道市（よつかいどうし）,四街道市鹿渡無番地,043-421-2111,http://www.city.yotsukaido.chiba.jp/,市町村役場,32,140.1710973,35.66735254
袖ケ浦市（そでがうらし）,袖ケ浦市坂戸市場1-1,0438-62-2111,http://www.city.sodegaura.chiba.jp/,市町村役場,33,139.9545224,35.42969664
八街市（やちまたし）,八街市八街ほ35-29,043-443-1111,http://www.city.yachimata.lg.jp/toppage.html,市町村役場,34,140.3179921,35.66587749
印西市（いんざいし）,印西市大森2364-2,0476-42-5111,http://www.city.inzai.chiba.jp/toppage/web-content/index.html,市町村役場,35,140.1457724,35.83235853
白井市（しろいし）,白井市復1123,047-492-1111,http://city.shiroi.chiba.jp/index.html,市町村役場,36,140.0560711,35.79118072
富里市（とみさとし）,富里市七栄652-1,0476-93-1111,http://www.city.tomisato.chiba.jp/,市町村役場,37,140.3430971,35.72678282
南房総市（みなみぼうそうし）,南房総市富浦町青木28,0470-33-1002,http://www.city.minamiboso.chiba.jp/,市町村役場,38,139.8401336,35.04321319
匝瑳市（そうさし）,匝瑳市八日市場ハ793-2,0479-73-0084,http://www.city.sosa.lg.jp/,市町村役場,39,140.565323,35.70784482
香取市（かとりし）,香取市佐原口2127,0478-54-1111,http://www.city.katori.lg.jp/,市町村役場,40,140.497459,35.90316111
山武市（さんむし）,山武市殿台296,0475-80-1292,http://www.city.sammu.lg.jp/,市町村役場,41,140.4135864,35.60299549
いすみ市（いすみし）,いすみ市大原7400-1,0470-62-1111,http://www.city.isumi.lg.jp/,市町村役場,42,140.3850904,35.25390602
酒々井町（しすいまち）,印旛郡酒々井町中央台4-11,043-496-1171,http://www.town.shisui.chiba.jp/,市町村役場,43,140.2692363,35.7246871
栄町（さかえまち）,印旛郡栄町安食台1-2,0476-95-1111,http://www.town.sakae.chiba.jp/,市町村役場,46,140.2437622,35.84094248
神崎町（こうざきまち）,香取郡神崎町神崎本宿163,0478-72-2111,http://www.town.kozaki.chiba.jp/,市町村役場,47,140.4057063,35.90149825
多古町（たこまち）,香取郡多古町多古584,0479-76-2611,http://www.town.tako.chiba.jp/,市町村役場,48,140.4677636,35.73555209
東庄町（とうのしょうまち）,香取郡東庄町笹川い4713-131,0478-86-1111,http://www.town.tohnosho.chiba.jp/,市町村役場,49,140.6684429,35.83720891
大網白里市（おおあみしらさとし）,大網白里市大網115-2,0475-70-0300,http://www.town.oamishirasato.chiba.jp/,市町村役場,50,140.3209636,35.52173204
九十九里町（くじゅうくりまち）,山武郡九十九里町片貝4099,0475-70-3106,http://www.town.kujukuri.chiba.jp/,市町村役場,51,140.4412389,35.53474504
芝山町（しばやままち）,山武郡芝山町小池992,0479-77-3901,http://www.town.shibayama.lg.jp/,市町村役場,52,140.4146536,35.69261473
横芝光町（よこしばひかりまち）,山武郡横芝光町宮川11902,0479-84-1211,http://www.town.yokoshibahikari.chiba.jp/,市町村役場,53,140.5042984,35.66555624
一宮町（いちのみやまち）,長生郡一宮町一宮2457,0475-42-2111,http://www.town.ichinomiya.chiba.jp/,市町村役場,54,140.3687536,35.37280368
睦沢町（むつざわまち）,長生郡睦沢町下之郷1650-1,0475-44-1111,http://town.mutsuzawa.chiba.jp/,市町村役場,55,140.319409,35.3610114
長生村（ちょうせいむら）,長生郡長生村本郷1-77,0475-32-2111,http://www.vill.chosei.chiba.jp/index.html,市町村役場,56,140.3540105,35.41218595
白子町（しらこまち）,長生郡白子町関5074-2,0475-33-2111,http://www.town.shirako.chiba.jp/,市町村役場,57,140.3742054,35.45426025
長柄町（ながらまち）,長生郡長柄町桜谷712,0475-35-2111,http://www.town.nagara.chiba.jp/,市町村役場,58,140.227116,35.43118061
長南町（ちょうなんまち）,長生郡長南町長南2110,0475-46-2111,http://www.town.chonan.chiba.jp/,市町村役場,59,140.237466,35.38641042
大多喜町（おおたきまち）,夷隅郡大多喜町大多喜93,0470-82-2111,http://www.town.otaki.chiba.jp/,市町村役場,60,140.2452686,35.28502926
御宿町（おんじゅくまち）,夷隅郡御宿町須賀1522,0470-68-2511,http://www.town.onjuku.chiba.jp/,市町村役場,61,140.3488006,35.19145107
鋸南町（きょなんまち）,安房郡鋸南町下佐久間3458,0470-55-2111,http://www.town.kyonan.chiba.jp/,市町村役場,62,139.8356936,35.11113613
